dataset,model,spearman_cor
hnps,gpt2,-0.410054173478221
hnps,gpt2_med,-0.44033370233088936
hnps,gpt2_large,-0.3417552511746909
hnps,gpt2_xl,-0.3899395912501198
hnps,llama_3,-0.4284802640150619
hnps,llama_3_chat,-0.3858260175324856
hnps,babyopt,-0.261478236806314
hnps,babyllama,-0.4202871130567987
hnps,mistral_0.3,-0.41390710753881504
hnps,mistral_0.3_chat,-0.344123672406056
hnps,olmo,-0.5093352184925279
hnps,olmo_chat,-0.43058804558938685
mpp,gpt2,-0.3712424534761141
mpp,gpt2_med,-0.3953472862424002
mpp,gpt2_large,-0.3607316252350011
mpp,gpt2_xl,-0.5790765638970569
mpp,llama_3,-0.4019340719401644
mpp,llama_3_chat,-0.22198869245230834
mpp,babyopt,-0.23306009819961415
mpp,babyllama,-0.3568075826916522
mpp,mistral_0.3,-0.48686156412835807
mpp,mistral_0.3_chat,-0.41174417829853655
mpp,olmo,-0.5134889956725113
mpp,olmo_chat,-0.26333128353401986
da,gpt2,-0.6509752043627662
da,gpt2_med,-0.5649214466586945
da,gpt2_large,-0.5050697806876376
da,gpt2_xl,-0.5405676352553943
da,llama_3,-0.5998213281786022
da,llama_3_chat,-0.5106689828629499
da,babyopt,-0.2564217151548366
da,babyllama,-0.3906938449899959
da,mistral_0.3,-0.5244223629634743
da,mistral_0.3_chat,-0.4491864813068507
da,olmo,-0.49430626582635767
da,olmo_chat,-0.47816099353443775
pm,gpt2,-0.2119164100679547
pm,gpt2_med,-0.12475798188034379
pm,gpt2_large,-0.21288050118828122
pm,gpt2_xl,-0.29459870091119267
pm,llama_3,-0.3054102941891397
pm,llama_3_chat,-0.29326733698312274
pm,babyopt,-0.19559572467385639
pm,babyllama,-0.260694829846378
pm,mistral_0.3,-0.3147757507865969
pm,mistral_0.3_chat,-0.34716462151947003
pm,olmo,-0.4299387305646438
pm,olmo_chat,-0.4309946398869062
